title,desc
Ekstra (2013),"A socio-realist drama-comedy ﬁlm, it follows a seemingly usual day in the life of Loida Malabanan as she embarks on yet another shooting day of a soap opera as an extra. As the shoot goes on, we get a glimpse of the truth in the ruling system of the production as well as the exploitation of the marginalized laborers like her."
Porno (2013),"An assassin, a porn dubber and a transgender. Three souls. One explicit illusion. To ﬁnd the ultimate joy in their empty lives. A safe haven, where passion and love mean humanity, ecstasy means enlightenment; and the soul is the ultimate arbiter of the truth."
Sana Dati (2013),Andrea Gonzaga is about to marry a man she doesn’t love when a mysterious guest arrives and suddenly reminds her of the man she truly loves.
Liars (2013),The ﬁlm tells the story of a journalist (Eloisa) whose expose’ of the truth results in life-changing consequences to a baseball team of poor boys. Inspired by a true story.
The Spider's Lair (2013),An Internet scammer falls in love with a wealthy old maid while trying to swindle her using a fake Facebook profile.
Devotion (2013),"Mando, a Bikolano devotee of Ina, Virgin of Peñafrancia, Patroness of Bikolandia, injures himself in the middle of the forest at the foot of the Mayon Volcano. He will be nursed back to health by a mysterious woman, Salome. They will eventually fall in love with each other. But when Mando invites her to come with him to the plains, Salome refuses, saying a curse prohibits her from leaving the forest. Salome holds a secret that will devastate Mando’s love for her. Meanwhile, Mando relies on his devotion to the Virgin of Peñafrancia to lift the curse, making him realize just how inextricably linked are the virtues of love and faith."
The Diplomat Hotel (2013),"Victoria Lansang is a popular news reporter who has been requested to mediate a hostage crisis. And in front of a national television audience, something horribly goes wrong and people are killed while Victoria suffers a mental breakdown. A year later, she’s eager to get back into the game. However, the only assignment she can get is to do a documentary on the last night of The Diplomat Hotel in Baguio City, a crumbling and abandoned building infamously known for its bloody past and its hauntings. Looking for redemption, she arrives there with her crew and they start ﬁlming. But as they get deeper into the night, the place starts to exert its will on them and they ﬁnd out exactly what monstrous evil awaits at The Diplomat Hotel. By daybreak, their lives will never be the same again."
Instant Mommy (2013),"Instant Mommy follows the story of Bechayda, a two-months-pregnant wardrobe assistant for TV commercial production. In the fear of losing her Japanese lover and her dreams of a better life, she embarks on a plan that will get herself out of her predicament. Or so she thinks."
Nuwebe (2013),"Inspired by the actual story of one of the youngest mothers in Philippine history, “Nuwebe” follows the story of Krista who at the tender age of 9 got pregnant from the sexual abuse perpetrated by her own father. What follows is a story of struggle and renewal. Krista’s story is complex. She refuses to see herself as a victim. Despite her situation, she demonstrates an incredible level of resilience and determination to overcome the trauma of her past. Her mother on the other hand is torn between her love for her child and her love for her husband."
Zone 7 (2013),"A countryside dramedy (drama-comedy) that follows 14-year-old Diana and her younger brother who live by themselves after their mother went abroad and their father lived with another woman. Set in a remote purok, where people display positive outlook in life despite daily struggles, the film features the light side of country lifestyle as the main characters take advantage of the fun and thrills of the town festival to take hold of their sweet childhood."
